acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
6100088,2022-04-15T10:55:00Z,2022-04-15T14:37:00Z,สมุทรปราการ,Samut Prakan,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.67351501,100.8388254,straight road,no slope
6100554,2022-04-15T13:58:00Z,2022-04-15T16:24:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,2,0,2,clear,13.73111,100.7163906,straight road,no slope
6101845,2022-04-15T16:30:00Z,2022-04-15T20:53:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดาวคะนอง -  แสมดำ,4-wheel pickup truck,vehicle equipment failure,rollover/fallen on straight road,1,0,0,clear,13.6522762,100.423893,straight road,no slope
7518378,2022-04-15T16:46:00Z,2022-12-29T11:39:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางนา-ชลบุรี,4-wheel pickup truck,other,rear-end collision,3,0,0,clear,13.643628,100.693142,straight road,other
6107746,2022-04-15T18:45:00Z,2022-04-16T20:02:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,รามอินทรา-อาจณรงค์,other,other,collision with obstruction (on road surface),1,0,1,clear,13.838589,100.633705,straight road,other
6107837,2022-04-15T21:30:00Z,2022-04-16T20:23:00Z,นครปฐม,Nakhon Pathom,department of highways,พระประโทน - สระกระเทียม,private/passenger car,speeding,rollover/fallen on straight road,1,0,1,clear,13.8052653,100.0420698,straight road,no slope
6104490,2022-04-15T22:26:00Z,2022-04-16T06:33:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดาวคะนอง -  แสมดำ,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,1,clear,13.66245929,100.4394123,other,other
6104493,2022-04-15T23:45:00Z,2022-04-16T06:32:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางแค - คลองมหาสวัสดิ์,private/passenger car,speeding,rear-end collision,2,0,1,clear,13.72833767,100.4058605,straight road,no slope
6107702,2022-04-16T01:30:00Z,2022-04-16T19:57:00Z,สมุทรปราการ,Samut Prakan,department of highways,ราษฎร์บูรณะ - พระสมุทรเจดีย์,private/passenger car,speeding,pedestrian collision,1,1,0,clear,13.64541599,100.5243659,other,other
6950186,2022-04-16T01:30:00Z,2022-09-21T10:50:00Z,นนทบุรี,Nonthaburi,department of highways,คลองมหาสวัสดิ์ - คลองบางไผ่,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,13.88306068,100.4089424,straight road,no slope
