acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
5652876,2022-01-01T01:00:00Z,2022-02-01T10:39:00Z,นนทบุรี,Nonthaburi,department of highways,แคราย - คลองบ้านใหม่,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.92771509,100.5278474,straight road,no slope
5484851,2022-01-01T02:30:00Z,2022-01-02T02:43:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางเมือง - บางพลี,4-wheel pickup truck,speeding,collision with obstruction (on road surface),2,1,0,clear,13.62035054,100.6429624,straight road,no slope
6566824,2022-01-01T02:30:00Z,2022-01-02T06:46:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงชนบท สค.2006 (กม.ที่ 5+500) - บ้านหนองสองห้อง,motorcycle,driving under the influence of alcohol,other,1,0,1,clear,13.508206,100.069372,straight road,no slope
5485786,2022-01-01T02:43:00Z,2022-01-02T06:25:00Z,สมุทรปราการ,Samut Prakan,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,large truck with trailer,vehicle equipment failure,rollover/fallen on straight road,1,0,0,clear,13.69683927,100.8266428,straight road,no slope
5493686,2022-01-01T05:30:00Z,2022-01-03T10:23:00Z,นนทบุรี,Nonthaburi,department of highways,ปากเกร็ด -  คลองประปา,motorcycle,speeding,rollover/fallen on straight road,1,1,0,clear,13.90283091,100.5332467,straight road,no slope
6566830,2022-01-01T05:30:00Z,2022-01-02T11:46:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 9 (กม.ที่ 43+490) - อำเภอไทรน้อย,pedestrian,cutting in closely by people/vehicles/animals,other,1,0,1,clear,13.948447,100.350952,straight road,no slope
6243220,2022-01-01T07:22:00Z,2022-05-25T14:23:00Z,นนทบุรี,Nonthaburi,department of highways,แยกพงษ์เพชร - สะพานพระนั่งเกล้า,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,13.85997375,100.5149326,straight road,no slope
6319547,2022-01-01T08:00:00Z,2022-06-06T14:27:00Z,กรุงเทพมหานคร,Bangkok,department of highways,อุดมสุข - สมุทรปราการ,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.66294667,100.6428444,straight road,no slope
5485027,2022-01-01T08:30:00Z,2022-01-02T03:28:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางพลี-สุขสวัสดิ์,other,other,rear-end collision,2,0,2,clear,13.632819,100.53706,straight road,other
6242422,2022-01-01T08:40:00Z,2022-05-24T15:03:00Z,นนทบุรี,Nonthaburi,department of highways,แคราย - คลองบ้านใหม่,motorcycle,speeding,rear-end collision,2,0,2,clear,13.93380946,100.534907,other,other
6319699,2022-01-01T09:00:00Z,2022-06-06T14:59:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,private/passenger car,cutting in closely by people/vehicles/animals,rear-end collision,2,0,0,clear,13.53483017,100.6273332,straight road,no slope
6566892,2022-01-01T10:00:00Z,2022-07-18T10:21:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บึงคำพร้อย - คู้บอน,4-wheel pickup truck,failure to yield/signal,rear-end collision,2,0,2,clear,13.86204141,100.6769916,connecting to private area,other
5837425,2022-01-01T11:00:00Z,2022-03-03T12:58:00Z,กรุงเทพมหานคร,Bangkok,department of highways,อรุณอมรินทร์ - พุทธมณฑลสาย 4,private/passenger car,speeding,rear-end collision,6,0,0,clear,13.78419993,100.395593,straight road,no slope
6566822,2022-01-01T12:00:00Z,2022-01-02T06:45:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 375 (กม.ที่ 10+950) - บ้านกระทุ่มแบน,motorcycle,driving under the influence of alcohol,other,2,0,1,clear,13.599756,100.142279,four-way intersection,other
5837476,2022-01-01T13:00:00Z,2022-03-03T13:08:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,4-wheel pickup truck,speeding,rollover/fallen on curved road,1,0,3,clear,13.62162004,100.5121431,wide curve,no slope
6566806,2022-01-01T13:09:00Z,2022-01-02T06:46:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 35 (กม.ที่ 16+000) - บ้านพันท้ายนรสิงห์,motorcycle,speeding,other,1,0,1,clear,13.59419,100.366557,straight road,no slope
5487323,2022-01-01T13:24:00Z,2022-01-02T12:00:00Z,นครปฐม,Nakhon Pathom,department of highways,ไร่ขิง - ทรงคนอง,motorcycle,illegal overtaking,rear-end collision,2,0,1,clear,13.74187589,100.2682552,straight road,no slope
5493725,2022-01-01T14:00:00Z,2022-01-03T10:28:00Z,นครปฐม,Nakhon Pathom,department of highways,อ้อมใหญ่ - นครชัยศรี,private/passenger car,speeding,pedestrian collision,1,1,1,clear,13.72183144,100.2559572,other,other
5615366,2022-01-01T15:00:00Z,2022-01-20T15:19:00Z,ปทุมธานี,Pathum Thani,department of highways,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,6-wheel truck,speeding,rear-end collision,2,0,0,clear,14.07853515,100.6178811,straight road,no slope
6243286,2022-01-01T17:40:00Z,2022-05-25T15:25:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,2,0,1,clear,13.7318187,100.7669771,straight road,no slope
6243252,2022-01-01T20:10:00Z,2022-05-25T15:02:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,private/passenger car,speeding,rear-end collision,2,0,0,clear,13.64632044,100.4079151,straight road,no slope
5493747,2022-01-01T20:58:00Z,2022-01-03T10:32:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,3,0,0,clear,13.95548338,100.7128313,straight road,no slope
5861489,2022-01-01T22:00:00Z,2022-03-07T11:37:00Z,สมุทรปราการ,Samut Prakan,department of highways,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,3,clear,13.59537368,100.8034927,straight road,no slope
6362494,2022-01-01T23:37:00Z,2022-06-13T10:40:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางแค - คลองมหาสวัสดิ์,other,speeding,rear-end collision,2,0,4,clear,13.76887704,100.4075503,straight road,no slope
6566921,2022-01-02T01:20:00Z,2022-01-03T04:47:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 4 (กม.ที่ 21+000) - บ้านคลองมะเดื่อ,motorcycle,driving under the influence of alcohol,other,1,0,1,clear,13.701882,100.330637,straight road,no slope
5861491,2022-01-02T06:00:00Z,2022-03-07T11:35:00Z,สมุทรปราการ,Samut Prakan,department of highways,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rollover/fallen on straight road,1,0,4,clear,13.59643474,100.7999843,straight road,no slope
5862124,2022-01-02T07:30:00Z,2022-03-07T13:51:00Z,สมุทรสาคร,Samut Sakhon,department of highways,อ้อมน้อย - สมุทรสาคร,private/passenger car,speeding,rear-end collision,2,0,3,clear,13.56099458,100.2745852,other,other
6566971,2022-01-02T11:00:00Z,2022-01-03T12:10:00Z,ปทุมธานี,Pathum Thani,department of rural roads,แยกทางหลวงหมายเลข 9 (กม.ที่ 51+450) - บ้านคูบางหลวง,motorcycle,speeding,other,2,0,1,clear,14.004778,100.442408,straight road,no slope
5523700,2022-01-02T12:20:00Z,2022-01-07T08:17:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,6-wheel truck,cutting in closely by people/vehicles/animals,other,2,0,1,clear,13.54485142,100.6186053,connecting to public/commercial area,other
6566953,2022-01-02T13:00:00Z,2022-01-03T04:44:00Z,ปทุมธานี,Pathum Thani,department of rural roads,แยกทางหลวงหมายเลข 305 (กม.ที่ 29+200) - บ้านคลองสิบสองสายกลาง,motorcycle,cutting in closely by people/vehicles/animals,other,2,0,1,clear,14.027472,100.869629,straight road,no slope
5861476,2022-01-02T14:30:00Z,2022-03-07T11:33:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,motorcycle,speeding,pedestrian collision,1,0,1,clear,13.51633552,100.6791776,straight road,no slope
6566914,2022-01-02T14:30:00Z,2022-01-03T15:29:00Z,นนทบุรี,Nonthaburi,department of rural roads,ถนนนครอินทร์,private/passenger car,vehicle equipment failure,other,2,0,1,clear,13.825894,100.482194,straight road,no slope
6566957,2022-01-02T15:30:00Z,2022-01-03T12:11:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 346 (กม.ที่ 36+980) - บ้านเจ้าเฟื่อง,motorcycle,speeding,other,2,0,1,clear,14.031296,100.312324,straight road,no slope
5842845,2022-01-02T15:35:00Z,2022-03-04T09:30:00Z,นนทบุรี,Nonthaburi,department of highways,สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,private/passenger car,speeding,rear-end collision,2,0,3,clear,13.87578019,100.4336107,other,other
6566923,2022-01-02T16:19:00Z,2022-01-03T04:46:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 35 (กม.ที่ 35+000) - บ้านบางยาง,motorcycle,speeding,other,1,0,1,clear,13.605519,100.205451,straight road,no slope
6950209,2022-01-02T16:30:00Z,2022-09-21T10:55:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,private/passenger car,speeding,pedestrian collision,1,0,1,clear,13.65056638,100.406059,straight road,no slope
5842756,2022-01-02T17:00:00Z,2022-03-04T09:06:00Z,ปทุมธานี,Pathum Thani,department of highways,วัดนาบุญ - คลอง 14,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,14.05811133,100.8395442,straight road,no slope
5837676,2022-01-02T17:30:00Z,2022-03-03T13:46:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,motorcycle,speeding,pedestrian collision,1,0,1,clear,13.65639953,100.3943995,straight road,no slope
6566956,2022-01-02T19:00:00Z,2022-01-03T04:45:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 9 (กม.ที่ 42+500) - บ้านหนองเพรางาย,pedestrian,cutting in closely by people/vehicles/animals,other,1,0,1,clear,13.908293,100.394843,straight road,no slope
5492189,2022-01-02T19:17:00Z,2022-01-03T04:52:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางนา-ชลบุรี,4-wheel pickup truck,other,rear-end collision,3,0,1,clear,13.640988,100.697966,straight road,other
6054883,2022-01-02T19:25:00Z,2022-04-08T09:40:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,13.9270278,100.7067481,straight road,no slope
5493578,2022-01-02T20:17:00Z,2022-01-03T10:01:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,13.99094185,100.7125497,straight road,no slope
5842951,2022-01-02T20:17:00Z,2022-03-04T09:54:00Z,นนทบุรี,Nonthaburi,department of highways,บางบัวทอง - ไทรน้อย,private/passenger car,speeding,rear-end collision,2,0,1,clear,13.92265151,100.4206824,other,other
6950192,2022-01-02T21:20:00Z,2022-09-21T10:55:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,13.62607235,100.4656201,straight road,no slope
5492187,2022-01-02T23:25:00Z,2022-01-03T04:52:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,แจ้งวัฒนะ-พญาไท,other,other,side collision,2,0,0,clear,13.80606596,100.5467221,wide curve,other
5493379,2022-01-03T03:37:00Z,2022-01-03T09:21:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,4,0,0,clear,13.95004036,100.7126811,straight road,no slope
5499254,2022-01-03T05:41:00Z,2022-01-04T06:17:00Z,สมุทรสาคร,Samut Sakhon,department of highways,สมุทรสาคร - บางบอน,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,13.57954051,100.3132117,straight road,no slope
5494002,2022-01-03T05:50:00Z,2022-01-03T11:11:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,4-wheel pickup truck,speeding,rear-end collision,2,0,2,clear,13.68183383,100.6995115,straight road,no slope
6362760,2022-01-03T06:50:00Z,2022-06-13T11:42:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดาวคะนอง -  แสมดำ,van,speeding,rollover/fallen on straight road,1,0,0,clear,13.66103363,100.4375267,straight road,no slope
6055988,2022-01-03T07:45:00Z,2022-04-08T13:47:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,14.00177118,100.7075554,straight road,no slope
6331011,2022-01-03T08:33:00Z,2022-06-08T11:54:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,2,0,0,clear,13.72940335,100.7317623,straight road,no slope
6319716,2022-01-03T14:00:00Z,2022-06-06T15:00:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,2,0,0,clear,13.51919378,100.665729,straight road,no slope
5837848,2022-01-03T14:30:00Z,2022-03-03T14:15:00Z,กรุงเทพมหานคร,Bangkok,department of highways,อรุณอมรินทร์ - พุทธมณฑลสาย 4,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.78492931,100.3886676,other,other
6950179,2022-01-03T15:47:00Z,2022-09-21T10:48:00Z,นนทบุรี,Nonthaburi,department of highways,คลองมหาสวัสดิ์ - คลองบางไผ่,other,speeding,rollover/fallen on straight road,1,0,0,clear,13.83429056,100.4134539,straight road,no slope
6056102,2022-01-03T18:00:00Z,2022-04-08T14:09:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,private/passenger car,speeding,rear-end collision,2,0,2,clear,13.81049814,100.6781825,straight road,no slope
5888630,2022-01-03T20:00:00Z,2022-03-11T10:51:00Z,นครปฐม,Nakhon Pathom,department of highways,หนองปลาไหล - กำแพงแสน,private/passenger car,driving under the influence of alcohol,rollover/fallen on straight road,1,0,0,clear,13.98195737,99.99507217,straight road,no slope
5837854,2022-01-03T21:00:00Z,2022-03-03T14:17:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,motorcycle,speeding,rear-end collision,2,0,2,clear,13.62608277,100.4657328,connecting to public/commercial area,other
6950193,2022-01-03T21:00:00Z,2022-09-21T10:53:00Z,นนทบุรี,Nonthaburi,department of highways,คลองบางไผ่ - คลองบางหลวง,private/passenger car,speeding,rear-end collision,2,1,0,clear,13.92726471,100.4136014,straight road,no slope
7440920,2022-01-03T22:00:00Z,2022-12-08T08:21:00Z,สมุทรปราการ,Samut Prakan,department of highways,ไม่ทราบ,4-wheel pickup truck,speeding,rear-end collision,2,0,1,clear,13.59339492,100.8126886,straight road,no slope
5843000,2022-01-03T22:30:00Z,2022-03-04T10:03:00Z,นนทบุรี,Nonthaburi,department of highways,คลองบางไผ่ - คลองบางหลวง,private/passenger car,speeding,rear-end collision,3,0,1,clear,13.90312512,100.4072177,straight road,no slope
5843072,2022-01-03T22:30:00Z,2022-03-04T10:19:00Z,นนทบุรี,Nonthaburi,department of highways,คลองบางไผ่ - คลองบางหลวง,private/passenger car,speeding,rear-end collision,3,0,2,clear,13.89536357,100.4079473,straight road,no slope
5837858,2022-01-03T23:34:00Z,2022-03-03T14:19:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,motorcycle,speeding,rollover/fallen on curved road,1,1,0,clear,13.62920039,100.4197222,wide curve,no slope
5499987,2022-01-04T05:50:00Z,2022-01-04T09:24:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางแค - คลองมหาสวัสดิ์,van,falling asleep,rear-end collision,2,0,5,clear,13.78038884,100.4089075,straight road,no slope
6073146,2022-01-04T06:53:00Z,2022-04-11T08:46:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.7321939,100.7824561,straight road,no slope
5837880,2022-01-04T09:00:00Z,2022-03-03T14:22:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,13.66120565,100.402666,straight road,no slope
6319087,2022-01-04T09:00:00Z,2022-06-06T13:17:00Z,กรุงเทพมหานคร,Bangkok,department of highways,งามวงศ์วาน - ดอนเมือง,other,speeding,rollover/fallen on straight road,1,0,0,clear,13.91860838,100.6006935,straight road,no slope
5505586,2022-01-04T09:17:00Z,2022-01-05T03:54:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางนา-ชลบุรี,other,other,rollover/fallen on straight road,2,0,0,clear,13.586221,100.844867,straight road,other
5837905,2022-01-04T11:00:00Z,2022-03-03T14:27:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดาวคะนอง -  แสมดำ,large truck with trailer,speeding,rear-end collision,2,0,1,clear,13.63044116,100.3972533,straight road,no slope
6567025,2022-01-04T11:20:00Z,2022-01-04T18:47:00Z,นนทบุรี,Nonthaburi,department of rural roads,ถนนราชพฤกษ์,large truck with trailer,illegal overtaking,other,2,0,1,clear,13.881767,100.450454,y-intersection,other
6950318,2022-01-04T12:00:00Z,2022-09-21T11:23:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางแค - คลองมหาสวัสดิ์,4-wheel pickup truck,speeding,rear-end collision,2,0,1,clear,13.76407834,100.4071453,straight road,no slope
5513496,2022-01-04T14:00:00Z,2022-01-06T08:16:00Z,นครปฐม,Nakhon Pathom,department of highways,อ้อมน้อย - ศาลายา,large truck with trailer,running red lights/traffic signals,rollover/fallen on straight road,1,0,0,clear,13.7218601,100.2987599,straight road,no slope
6566545,2022-01-04T14:50:00Z,2022-01-04T18:48:00Z,นนทบุรี,Nonthaburi,department of rural roads,ถนนราชพฤกษ์,large truck with trailer,dangerous curve,other,1,0,1,clear,13.926541,100.454596,wide curve,slope area
5843386,2022-01-04T15:15:00Z,2022-03-04T11:24:00Z,นนทบุรี,Nonthaburi,department of highways,บางบัวทอง -  ลาดบัวหลวง,motorcycle,speeding,rear-end collision,2,0,1,clear,13.98348257,100.3857118,straight road,no slope
6950211,2022-01-04T16:30:00Z,2022-09-21T10:57:00Z,กรุงเทพมหานคร,Bangkok,department of highways,พระประแดง - บางแค,motorcycle,driving under the influence of alcohol,rollover/fallen on straight road,1,0,1,clear,13.65669145,100.4054072,straight road,no slope
5836979,2022-01-04T20:30:00Z,2022-03-03T10:51:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,motorcycle,speeding,rear-end collision,2,0,2,clear,13.65449687,100.3922403,straight road,no slope
6567040,2022-01-04T21:19:00Z,2022-01-05T11:27:00Z,สมุทรปราการ,Samut Prakan,department of rural roads,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,motorcycle,speeding,other,2,1,0,clear,13.650995,100.541199,straight road,no slope
6567034,2022-01-04T22:10:00Z,2022-01-05T11:28:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 346 (กม.ที่ 39+280) - บ้านคลองหนึ่ง,private/passenger car,speeding,other,1,0,1,clear,14.040902,100.293959,sharp curve,no slope
6567039,2022-01-05T05:47:00Z,2022-01-06T09:00:00Z,สมุทรปราการ,Samut Prakan,department of rural roads,ออกจากสะพานภูมิพลที่ 2 ไปถนนวงแหวนอุตสาหกรรม,motorcycle,abrupt lane change,other,2,0,1,clear,13.664065,100.538221,grade-separated intersection/ramps,other
5513249,2022-01-05T09:20:00Z,2022-01-06T07:05:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,พญาไท-ศรีนครินทร์,other,other,rear-end collision,2,0,1,clear,13.75504659,100.5560582,straight road,other
5861018,2022-01-05T15:00:00Z,2022-03-07T09:51:00Z,ปทุมธานี,Pathum Thani,department of highways,คลองบางหลวง - ต่างระดับเชียงรากน้อย,7-10-wheel truck,speeding,rear-end collision,2,0,0,clear,14.11265837,100.5336705,straight road,no slope
7561493,2022-01-05T19:25:00Z,2023-01-17T09:59:00Z,กรุงเทพมหานคร,Bangkok,department of highways,อรุณอมรินทร์ - พุทธมณฑลสาย 4,motorcycle,speeding,rear-end collision,2,0,0,clear,13.78428329,100.457367,straight road,no slope
6073116,2022-01-05T22:09:00Z,2022-04-11T08:45:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,2,0,4,clear,13.83637407,100.67357989999999,straight road,no slope
5888611,2022-01-06T04:40:00Z,2022-03-11T10:48:00Z,นครปฐม,Nakhon Pathom,department of highways,บางเลน - ลำลูกบัว,large truck with trailer,speeding,rollover/fallen on straight road,1,0,0,clear,14.02661085,100.1367491,straight road,no slope
5860984,2022-01-06T07:30:00Z,2022-03-07T09:49:00Z,ปทุมธานี,Pathum Thani,department of highways,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,14.09702949,100.6185543,other,other
7564966,2022-01-06T08:00:00Z,2023-01-20T06:37:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,motorcycle,speeding,rear-end collision,2,0,1,clear,13.66965,100.6260082,straight road,no slope
6073089,2022-01-06T09:30:00Z,2022-04-11T08:39:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,private/passenger car,speeding,rear-end collision,3,0,0,clear,13.73602662,100.702706,straight road,no slope
7440887,2022-01-06T14:30:00Z,2022-12-08T08:15:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ไม่ทราบ,motorcycle,speeding,rear-end collision,2,0,1,clear,13.81147557,100.5595148,other,other
5862126,2022-01-06T14:45:00Z,2022-03-07T13:53:00Z,สมุทรสาคร,Samut Sakhon,department of highways,แสมดำ - สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,5,0,0,clear,13.59229994,100.3363699,straight road,no slope
5532390,2022-01-06T18:48:00Z,2022-01-08T15:47:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,private/passenger car,speeding,rear-end collision,4,0,0,clear,13.74141733,100.6423241,straight road,no slope
5524152,2022-01-06T21:57:00Z,2022-01-07T09:31:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,แจ้งวัฒนะ-พญาไท,other,other,rear-end collision,2,0,0,clear,13.83139328,100.5409267,straight road,other
7440875,2022-01-07T09:30:00Z,2022-12-08T08:10:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ไม่ทราบ,motorcycle,speeding,rear-end collision,2,0,1,clear,13.76433811,100.5481308,other,other
5542955,2022-01-07T09:45:00Z,2022-01-10T10:55:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,5,0,0,clear,13.72940335,100.7317623,straight road,no slope
5783432,2022-01-07T15:10:00Z,2022-02-22T14:44:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,other,speeding,rollover/fallen on straight road,1,0,0,clear,13.81591578,100.7213554,straight road,no slope
5783465,2022-01-07T15:10:00Z,2022-02-22T14:45:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,other,speeding,rollover/fallen on curved road,1,0,0,clear,13.8182521,100.7242468,wide curve,no slope
5783467,2022-01-07T15:10:00Z,2022-02-22T14:46:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,other,speeding,rollover/fallen on straight road,1,0,0,clear,13.81758012,100.7230854,other,other
6319721,2022-01-07T20:30:00Z,2022-06-06T15:02:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,4-wheel pickup truck,running red lights/traffic signals,other,1,0,0,clear,13.65545081,100.6719652,other,other
7440931,2022-01-07T21:20:00Z,2022-12-08T08:12:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ไม่ทราบ,motorcycle,speeding,rear-end collision,2,0,1,clear,13.78987642,100.5615629,straight road,no slope
6073249,2022-01-08T05:28:00Z,2022-04-11T09:07:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,large truck with trailer,vehicle equipment failure,other,1,0,0,clear,13.77955002,100.6857303,straight road,no slope
7560726,2022-01-08T11:50:00Z,2023-01-16T11:35:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดินแดง - งามวงศ์วาน,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,2,0,1,clear,13.8223953,100.5584127,straight road,no slope
5531854,2022-01-08T12:53:00Z,2022-01-08T13:39:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,รามอินทรา-อาจณรงค์,other,other,rear-end collision,2,0,0,clear,13.843308,100.636012,straight road,other
7440989,2022-01-08T15:30:00Z,2022-12-08T08:26:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ไม่ทราบ,private/passenger car,speeding,rear-end collision,2,0,0,clear,13.64452196,100.4130059,straight road,no slope
6494601,2022-01-08T19:00:00Z,2022-07-05T10:26:00Z,สมุทรสาคร,Samut Sakhon,department of highways,สมุทรสาคร - บางบอน,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,2,clear,13.6143288,100.346109,straight road,no slope
5536790,2022-01-09T07:55:00Z,2022-01-09T10:19:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,รามอินทรา-อาจณรงค์,other,other,collision with obstruction (on road surface),1,0,1,clear,13.796315,100.61331,straight road,other
6331026,2022-01-09T08:59:00Z,2022-06-08T11:54:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,private/passenger car,speeding,rear-end collision,5,0,0,clear,13.72960398,100.7472119,straight road,no slope
6074460,2022-01-09T13:53:00Z,2022-04-11T13:34:00Z,ปทุมธานี,Pathum Thani,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,2,0,2,clear,13.99761232,100.7094517,straight road,no slope
5539964,2022-01-09T19:43:00Z,2022-01-09T21:39:00Z,กรุงเทพมหานคร,Bangkok,expressway authority of thailand,พญาไท-ศรีนครินทร์,other,other,collision with obstruction (on road surface),1,0,1,clear,13.75395601,100.5610262,straight road,other
6567055,2022-01-09T22:00:00Z,2022-01-11T10:56:00Z,ปทุมธานี,Pathum Thani,department of rural roads,แยกถนนเทศบาลท่าโขลง - บ้านคลองสิบสาม,motorcycle,speeding,other,2,1,0,clear,14.168351,100.668238,straight road,no slope
